translated_content,sentiment
"Is it worth paying a premium, for the guaranteed performance that you may or may not reach with the 9900K? I generally will hang on to a system for 3-5 years before doing a major upgrade. So, in my case, knowing that I have the best of the best was important. Mine at 5.1 on all hearts without breaking a sweat. It's worth remembering that all the very best 9900K's will serve as the basis for the ""KS"", so your chances of receiving just a mediocre ""K"" will grow dramatically.",positive
Very good for full hd video editing...,positive
"Purchased in offer, taken on flight because it's a great process for its façade. It's never been disappointed in months of use and has the job load as it should. Only sin the very rough window, immediately sealed in favour of the previous one already in possession. A high-speed window is needed only in state and overloads, for the rest of the silent.",negative
"This is a really good quality-price processor; F version allows you to save a good 20-30 euro compared to an integrated video card version (of course you don't put an old TRAPPO video card which is probably not compatible with UFI... my GTX970 works well). 4 stars because the dissipator is not so high and there is really little pre-applicable thermal paste that the processor can easily arrive at 100 degrees!!!!!!!!! Replaces with an Article MX2, but always touches the 90 degrees at times, with the window that rotates to the maximum. Also from other reviews that are on youtube, this is a processor that needs a good cooling system, almost a liquid.",positive
I have it paired with a 3080 Strix and the GPU is doing all the work. No CPU bottleneck.,neutral
"fast delivery, the product is working fine.",positive
I need other components to get her to work.,negative
"I seriously doubt I'll be replacing this in the next several years, if even that. This thing is a beast and trades everything you throw at it. I've put it through all of the usual headlines and it barely seems to notice. I've set it up with the Arctic Liquid Freezer II 420 A-RGB to deal with the heat and it handles that just fine.",negative
"I'd expect the new meteor lake to come out if someone was thinking about buying it in 2023, either to buy meteter lake or to wait for this low price a little bit.",negative
"The game will fall down on trial. The problem will be solved only by making bios and graphics settings. At least it's not for the first person to set up. However, let's do a quick look at the settings.",negative
No comment,neutral
"This CPU comes with a cooler and a diagram showing how to touch said cooler. Although the diagram showed use of a rocket on the motherboard and it did not have one in the box. Luckily I planned on using my own cooler sometimes, however I can't overlook that as it would be frustrated to any release on their box cooler to be ready to go",positive
GTX 1650 GTA V AVG 90FPS PUBG ON AVG 120+FPS,neutral
"In order to find out what happened on the hot run in the Brooklyn screen, the cooling memory exchange, the gravitational exchange, the exchange of electricity, the exchange of power, the loss of power, the result of the same purchase of i5 1360KF, the result of which we need to know immediately, is that this high-value purchase period is short, and because the CPU is not safe, it's still the worst time for me to buy the shortest game ever.",negative
"First I started with the assignment: I asked for it almost mid-September and had a date of arrival for 1 October by paying the dearest shipment (at that time it stayed between 3 to 5 days in a row). When I arrived at the delivery date, there appeared to me a notification of ""will come today"", but the product didn't even have ""sent"". The next day, they warned me that the product no longer had a date to send and that it would only inform me of it. During the course, I was almost exhausted with almost 1 month and half of the time since it was bought by ENVIO MÁS RAPIDO. After all this situation, I saw that the price was reduced to 5 times.",negative
I got the CPU as required goods. After the installation. PC only turns on and off and the CPU LED lights red. Resend the processor.,neutral
numerical calculations,neutral
"Reciper still uses it for VR gambling, and hasn't mentioned any problems with it.",neutral
"Purchased in offer, taken on flight because it's a great process for its façade. It's never been disappointed in months of use and has the job load as it should. Only sin the very rough window, immediately sealed in favour of the previous one already in possession. A high-speed window is needed only in state and overloads, for the rest of the silent.",negative
Value for money,neutral
Serious and recommended seller,negative
"Paired perfectly with my RTX 2080, managed to get very stable and consistent fps. It's the perfect cpu for the average competitive gamer/content creator",positive
"The processor is extremely ruddy. The processor dissipator makes a pazsic noise even for the most readable operations, browsing on the web. Good performances are also visible in game, but the noise is shocking, often I have coffees. I had to buy a dissipator aside to use it normally",negative
The processor is amazing. Upgraded from an Intel 8700k. Paired it with 6400 mz DDR5 memory on an AsRock z690 Taichi motherboard and my Nvidia EVGA 3080Ti and I'm consistently in the top 5% of benchmarks world-wide with barely any doubts except selecting the XMP profile in my bios.,positive
Use for games as well as office tools.,neutral
No graphics,neutral
"Installation went smooth using this 10700k in a rig with a 2060 super and it is cruising fps numbers. I always play fast paced shooters and want as many frames as possible and this thing does not disappear. Come from a rose 3770x. Value and CSGO frames are very high, and I never get any slow down or mouse input it feels great! So a lot of people said this new Intel ran very hot and I don't even hit over 65c at full load having it overclocked to 5.2ghz. Now i do have one of the best AIR coolers out there even if you have a cooler that is not looking at safe and normal time even when overclocked to 5.2 gz.",positive
you have met my expectations. I'm software developer and use a lot of things at the same time in the PC and you've never had a problem. ball show.,neutral
There are no texts that have been flying from core7-870 to 12th century.,neutral
"The Processor is Good & Works Fine. But The Delivery was awful, one of the leaves of the fan was broken. If I already had another dedicated cpu cooler, I didn't cause a return.",negative
"Buy this for a new personal PC. My last was an i7 4790K built that got totaled out (crushed) during shipping. After building a new one on a z790i platform, the performance gained was tuning, completely night and day! I cannot say enough about this CPU, and would completely recommend this product!!",positive
Not good,negative
"Indeed an excellent CPU: powerful and economic. In addition to the low cost of the related mother cards, the RAM DDR4 and the compatibility with the old third-party dispersalers, they make it a sensitive CPU still today. Perfect for low-cost platforms (but still still strong enough for any use).",positive
It's a very fast and speed performance product from intelligence to now as it's 10th gene with unlocked for over clocking features. My honest review after using it for days but I would recommend to buy along with it a decent motherboard and cooling system. Thanks Amazon for fast delivery.,positive
"Ideal for a gaming use, combined with an RTX 3080 for 4K game. Very low heat consumption in 40 to 50° max in game with a ventirad that is performance but not enormous no more.",negative
"I decided to write the review as many questions received for the Desktop components Purchased from Amazon in May 2019... As the former MB and GPU (Had i5 1st gene processor and compatible MB then) got damaged because of lightning, I decided to go for a decent latest configuration which is as follows and after 6 months of use the performance is worthy... 1) Intel Corporation Core i5 9400F 9th Generation Desktop Up to 4.1 GHz Graphics 65W (Directe Graphic for Display) 2) Gigabyte DDR4 SATA 6Gb/s USB 3.1 Micro ATX Motorboard 3DZ-Semerged ascord 2D4",positive
processor well packed but the problem is that it gets broken in two I don't recommend,negative
Everything okay I like the product and it works very well,positive
"Intel 11th generation processor, 6 core. The dissipator with which it is sold is quite quiet and does its work. For those who use the PC for work (so no play and no editing h24) there is no need to change the dissipator. With WIN11 and 16Gb Ram it is very fast, zero lateness on all programs with all open applications you want. For those who do not need ""extrame"" the advice, it doesn't make sense to run to useless power. Moreover, it loses only 64W, a good save on current compared to the larger brothers who are over 100W.",positive
"Didn't work out of the box, not sure if that was compatibility or bios issues!",negative
"I paid it with my RTX 2070 Super, because my old CPU (R5 3400G) slowed my system down. Now my PC can fully use my GPU with this! I went from fluctuating 50-70fps on GTA 5 max settings 1080p (with common wide frame drops) on my old processor, to consistent 80-100fps on this one. Most night and day difference. My computer is so fast in pretty much every way! I highly recommended this if you can't get your hands on the new Ryzen 5000 series. Intel 10th gene is true the next thing right now, at least before RKL.",positive
"It's nice to buy the medium goods, but it's good to buy them safely.",positive
"I didn't need a really fast processor and I wanted to find something that worked well and didn't use too much power or create too much heat. I'm using a $35 air cooler on this and under full load for over 10 min I never got over 68 degrees. Solid core i5, great value for an LGA 1200 build. I play with this and work with AI image generation, LLMs, video editing, etc. My system runs idle at just around 100 watts on the power supply.",positive
Works good,positive
"Nothing to say for now, it's doing well but I did not try to OC it yet.",neutral
Had this for a while and it's performance like it should.,neutral
Rank great for a couple of days and then blue screens started and can't boot into windows.,neutral
"I had all my friends telling me this was going to work, although I may have been all wrong. All these kids who played xbox then bought a pre-built PC and thought that a 'i5' is better than a number difference xD I can run Battlefront II Maxed ULTRA settings, Anti-whole Yards turned on NVidia CP, I don't have it in any way; with the wrong settings it just got down, I have preferences for most of the NVidia ash, I mean it's 50 years ago.",negative
Play Video very bad packaging product and Not safe product. van quality is very bad. Give you two stars. This product very high price but not proper safe parking.,negative
really bad instinct against the rose5 5600x completely off,negative
"Very good processor, but it needs a good cooling.",positive
I upgraded from i5 8th to i7 11th gene... This is superfast processor... Got 75fps on COD Warzone 2k with 1060gtx,neutral
"Native and total instruction speed, although required video card",neutral
This is what is expected of its specifications.,negative
"It came inside a Amazon bag, so the box bumped a little, as can be seen. Works great for playing and office work as well, parred with a fast SSD and nice RAM sticks.",positive
Any products delivery was fast but never really got to use it cuz I didn't have the motherboard for it got sent the wrong model of CPU,negative
PERFECT! EASIER to install than I thought as a first time processor install for me.,positive
Just installed this in my new building and I have to say it is AMAZING! My one warning to anyone inexperienced with the new CPUs is being prepared for the heat. After a lot of work I was finally able to get this down to an average of 30 - 40 degrees Fahrenheit during light loads. When under a heavy load search as Cyberpunk at max everything at 4k. I get about 70 - 79 degrees Fahrenheit. This beast is HOT! but extremely incredible in its performance.,positive
With all my requirements,neutral
Keeps description,neutral
Work as expected!!!,negative
Works like dream!,neutral
Now.,neutral
"the Intel i5-11400F CPU is an excellent choice to get high performance at an advantage price. With its eight cores and 12 threads, it offers a significant increase in performance compared to the previous generations. It is efficient from an energy point of view and equipped with an integrated cooling system that keeps temperatures under control even during the most intense activities. The installation is simple and Intel support is of great help. In total, it is an excellent solution for anyone looking for a perfect processor without spending a fortune. It is recommended to collect a new PC and to perform a significant upgrade from a previous CPU. Satisfied!",positive
"I Purchased this CPU during one of Amazon's inflexible and short-lived major price reductions. I paid $301.99 for the CPU at the time when it was selling for $389.99. I wanted PCIe 4.0 and Thunderbolt 4.0 and I was considered a 5900X but I found the AMD X570 motherboard feature sets to be disappearing even at the high end. Anyway, I usually buy Intel processors even though I've occasionally bought AMD in the past. I have a very good Cooler Master Liquid ML360 CPU Liquid Cooler which keeps the temperatures reasonably cool. I also bought an ASUS Z590 MAXIMUS XIII HERO motherboard,",positive
It's best if you don't have an internal graph. It's OK if you have a value and a sexual balance.,positive
I waited a year for this processor it was worth the wait coming off a FX chip.,positive
"I changed my i7 8700k by this i9 13900k. If I feel faster than my PC. Including, a compression of a 700G virtual machine, before I did it almost two hours ago, now I did it at 1:15, notice the difference in power.",neutral
"I've only bought this year, but Win11 doesn't seem to move.",neutral
Very good enter level playing processor. Just dump the stock cooler if you don't even want the processor to hit 70 degrees. Any hyper cooler or any other cooler should bring the max temperature down by another 20 degrees.,positive
Probably buy good processor with this price but we couldn't get display without graphics cards,positive
This is something that people don't understand about processors.,neutral
Stock cools it end,neutral
"Compared to the Coffee Lake generation I had been (willingly) stuck on for 4 years this is a massive leaf. Before buying I was a bit skeptical since I'm not a fan of Intel's new way of action courses, but the first thing I tried when I got it was emulating PS3 games and right off the bat I saw complementary times cut at least doubled. The old CPUs from the 8th, 9th, and 10th gene are perfectly usable for most people so if you're on a budget maybe look on the used market for those. But if you really need something powerful this is a good option.",positive
"Purchased a new item, but seems like a used one, the top surface is scratched a bit. And after 2 weeks, it discounted to 299...overall a decent cpu, but wait for the discount",positive
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
"At this time in the product life cycle, the 12th gene CPU is about half the cost of the 14th gene CPU. It is more than fast enough for everything I do. My major reason for upgrading was my old motherboard did not have TPM 2.0. The CPU was easy to install, it is running between 36-37 degrees Celsius (though I admit I am not stressing it).",positive
Now display after using it,neutral
"Great processor but hot, Therefor, good cooling and a small twoking in the BIOS is desirable",positive
you have met my expectations. I'm software developer and use a lot of things at the same time in the PC and you've never had a problem. ball show.,neutral
"I like the delivery being really fast. I measured up on the payment info and wasn't able to get it the same day like promised but Amazon got it to me next morning instead. So, that was nice and I appreciated the fact that they got it to me as fast even though they probably could have just said, ""No, you didn't pay anyway, so not the same day shipping."" So, that was nice.",positive
1. for use this chip graphics card / disposal card required for mother board,neutral
"Sent me false processor, cost me a lot of trouble and now I am stacking email with Intel.",negative
Very good product,positive
"The Processor is Good & Works Fine. But The Delivery was awful, one of the leaves of the fan was broken. If I already had another dedicated cpu cooler, I didn't cause a return.",negative
Do the job well why it's been programmed,neutral
"Decent time, managed to overclock to 5GHz on the stock 1.250 volts stable. Have not tried any video editing yet but gaming performance is great.",positive
Works as expected,negative
"Zero issues installing and running it on a Gigabyte Vision G motherboard. Using a relatively cheap Enermax 120mm Liquid Cooler, and not overclocked, the CPU idles around 30 deg C, and under full load, I have still to have it go over 55. Using a mid totect case with lots of airflow too.",positive
Best Buy,positive
"I've installed a 10th has 2x, 12th has, and a 13th has on my family's pcs.",neutral
My previous processors were i7700 and i5 4590k and for me this is a major improvisation in terms of performance. My RX 580 runs with almost no bottleneck with this processor unlike the other 2.,negative
seller is trash as he will message you back when you want to send it back,neutral
excellent,positive
Not buying a cpu from this seller again won my order came I opened the box and the cpu was not in the box even if it still has the factory seal west of at least 1k Bucks,negative
standing when I ordered it to come 5 January after the day after I look and see that it will be 9 January.,neutral
"It runs well for productivity tasks, 6 colors cpu is minimum requirement for smooth running any wide software.",positive
"5 stars until the flowers up, will change rebkew then lol",positive
Awesome for gambling pair with gtk 1660s or gtk 1650s,positive
It's been less than 24hrs since I upgraded from an i7-8700 and could instantly tell a difference in performance. Haven't had the need to overclock since the trades streaming on twitter/kick with obs while playing games on the same PC very nicely at stock settings.,positive
"I came to call on the product that the seller sent me and canceled the appeal, as there may be a seller where you send u. Product damaged and still continues to be as seller of the Amazon page. Please return my refund.",neutral
I'm sorry.,negative
Compare 7-8 to i7... 4 colors 8 threads just works amazing.,positive
"In use for the high end softwares and it helps me to use it easily and full edge,",positive
CPU under 14 k is being paired with gtk 970 oc and gives avg of 60 fps and I got it for 13500 Edit Now it is paired with GTX 1660ti and this combo gives me avg of 90fps,neutral
You must have 360mm water cooler for this cpu it runs very hot! My 360mm wasn't enough to cool it down at all while gambling!,positive
"Absolutely great CPU, fast, efficient, and perfect for gambling. It's the ideal CPU for games, especially coming from a 9700k. I noticed drastic improvements in my gambling and I highly recommended for others. Great buy.",positive
"Over I5 13,500 out of 15 per cent",neutral
The processor was easy to put on a b760 Gygabyte super fast,positive
"the i3-10100f's main fllaw was the small cache size of 6mo... this one has 12mo... which is a massive uplift in stability when gambling... and speaking of gambling... the cooler it comes with ( idk why but one of the 4 push pins never wanted to be fully pushed ) well... playing gta 5 at 120fps led me to 85-92 degrees on the cpu... sorry but this is not a laptop, this is unacceptable....",negative
"The processor is a piece of cake. No layer you can pair it with to rtx 2070 and gtk 1080ti, no bottleneck will occur. I have used this from at least a couple of years. Not knowing a single issue yet.",negative
"Product batch number is different on Product and invoice, due to this intelligence not showing warranty. Return pickup man is not picking it because document data and Product data is different",negative
True Good,positive
"The CPU is used, it was in open box, without stamps, maltreated and dirty, obviously not in the q box is shown in the publication, which dissipation, is buying a new product nothing cheap",negative
"I9 is odd. Better benchmarks than my old PC that had an old 5.0ghz amd (old am3+ socket) with crossfire r9 390x's. Shipping was next day, arrived new!",positive
Solid.,neutral
"I just got into PC building, there are so many chips on the market after 100's of hours watching everyone's favorite youtubers I learned one thing... A lot of chips fit the specs for what you need lol.",positive
It works perfectly. I know the difference because I come from an i5 eighth generation. And I'll have more experience with a GPU 4070.,positive
I can't use it. I've read it and sent it back.,neutral
"I was the AMD guy, now I'm the Intel, please.",neutral
"Didn't work out of the box, not sure if that was compatibility or bios issues!",negative
"Probably more than I need for gambling, maybe I should have got a 13700k instead of running a little cooler. This gets HOT on my Dark Rock Pro 4. I want to get a 360mm AIO to help cool this.",positive
This is supposedly a brand new cpu but I saw an orange scratch mark. Probably whatever plating was slightly scratched off to expose a copper surface. I just don't think that that's acceptable for a 300+ dollar cpu. I could buy an xbox series x for that price and what I got a maybe used cpu that was run around the ring a few times.,negative
"10400 F, this F series doesn't have graphic output and hens you have to install separate graphics card. It is written on the box but in very small letters. As the graphic output is distributed by separate graphics card it must have good working capacity for other tasks.",positive
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
"This is a 10th generation Intel CPU and was the most up to date CPU so that I could get the most value for my money. The pricing on this is very competitive and it has good speed and doesn't get too hot. I am a new CPU builder and installation this on my Mobo (Gigabyte b460m ds3h) was a five and easy enough to understand. I think it's not ideal for gambling and I just use it for office work, but the included, integrated graphics was part of what sold me here because I didn't need a bulky GPU and could save some money there too. All in all, good CPU for the price and performance is competitive for business work 4.5/5.",positive
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
But this image processing level is used without any specific problems.,neutral
1. for use this chip graphics card / disposal card required for mother board,neutral
Excellent!!!!!!!,positive
Very good processor nothing was wrong and now my PC is stronger,positive
"I got the processor with the broken security seal, so far everything works right, but I didn't like it that way.",negative
We need to drop 4.00Gz when we're cold.,negative
Good,positive
Budget beast.............................................................................................................................,neutral
"Are usually go for the best products and it was a mistake for my first PC built I chose this chip and I didn't know it run that hot I built my PC I had enough fans but I had a 240 mm radiator I wanted a Micro Center and had to get a 360 mm cooler from the pool. The time was at 89 to 92°C after the deep cool AIO under stress, test and Bench testing the time remaining under 60°C, other than that I play hard on it and the CPU use never goes past 30%. It's pretty overkilling but that's how I like my PC.",positive
Which is the best motherboard for this processor for gambling I need suggestions,positive
"No notice waiting for extended use See, later on the duration",neutral
This CPU has 24 threads and 16 colours (8E colors and 8P colors) which really makes difference when dealing with 3d graphics and to prevent bottleneck issues Do not cause a CPU and GPU bottleneck as I only get about 45% GPU usage and stay below 10% load in current AA titles like Destination or Call of Duty. CinebenchR23 Benchmarks Using CINEBENCH R23 I got a score of 27552 which is roughly 70% of top performance CPU score of 43640. Using Geek Bench 6 test I got a single core score of 2601 which is roughly 83% of top performance CPU score of 3097 And a multi-core score of 12821% peaking 56%,positive
good quality,positive
The next time you specify that it does not use a mmvrgs graphics card,neutral
"I used this processor on a building for my daughter. I put it on an MSI Z490 A Pro main board w/ 16 GB of memory and doing that put me in the 7 seconds club. Push the power button and 7 seconds later, the machine is booted. Other 2 seconds and you're on the Internet. So no bottle necks are similar. Considering that it's not a high end processor, it is impressive",positive
If you like to play hard games like gta 5 and assassins believed syndicate and farcry 4 you should buy this best budget cpu...,positive
"purchased for a low-media configuration for office use and a bit of video editing, does its work without problems, small sin the window that eliminates heat, enough to raise the temperature and start making a smooth round but is sustainable",negative
I had a quality problem with this product and the customer service team immediately replaced me. Great courtesy and professionalism.,positive
Awesome product,positive
It's rock solid profile on the RAM and a small cache overclock. This thing absolutely crosses my previous I7-7000k CPU and I noticed a big difference in FPS in quite a few games.,negative
"If you want to play a little and do professional things, this would be indicated by the distribution of the kernels you have.",negative
Just what I was looking for,neutral
I'm getting BSOD's. Will not accept XMP profile. Just to run at stock the processor needs 1.7v? I ran 3D Mark cpu test cpu hit 109c!!!!! At stock settings! This list is disappointing.,negative
"This is not the latest model, but it's the most expensive. It's expected that intel will change significantly in the next 12th century.",positive
Thank you.,neutral
Everyone works three good. Thank you.,positive
The quality and price ratio is immeasurable. For a working PC or Input Gamer it serves perfectly. Thanks to its very low energy consumption it only needs a 400w source. Very recommended if you don't want to spend too much on a PC...,positive
My i3 10th has 10100f order but my money is lost.... return policy I want if there is any...,neutral
Play Video No picture of the current cpu but my building is running great.,positive
We need to drop 4.00Gz when we're cold.,negative
"This 12th generation of Intel is definitely excellent! For 20 years, I've bought only AMD, but at the reading of many tests that have preceded the quality of 12100F, I've decided to break the leg. At the start, I wanted a processor both powerfully in the games, and it doesn't burn. Because it was designed to be in a HTPC, and then I wanted to optimise the performance/energy report.",positive
I had many stability issues it is unrealistic. I did not overclock but had much trouble with the system that I stupidly replaced the board and video card. I didn't deny that I had done the damage. Literally months of troubleshooting and double expenses before I realized that the ass board defaulted to super high charge and the chip itself began to sink at an extremely fast rate. Yet I must have done something wrong with this replacement yet. This is about when the news dropped on mainboarders and those inside the,negative
